# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = LinTwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.data.R
# init = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel.init.R
# random
#   seed = 345158
# output
#   file = /data/example-models/PKPD/torsten/LinTwoCptModel/LinTwoCptModel/LinTwoCptModel4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,K.1.1,K.2.1,K.3.1,K.1.2,K.2.2,K.3.2,K.1.3,K.2.3,K.3.3,k10,k12,k21,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,x.7.1,x.8.1,x.9.1,x.10.1,x.11.1,x.12.1,x.13.1,x.14.1,x.15.1,x.16.1,x.17.1,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,x.7.2,x.8.2,x.9.2,x.10.2,x.11.2,x.12.2,x.13.2,x.14.2,x.15.2,x.16.2,x.17.2,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,x.7.3,x.8.3,x.9.3,x.10.3,x.11.3,x.12.3,x.13.3,x.14.3,x.15.3,x.16.3,x.17.3,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16
# Adaptation terminated
# Step size = 0.177003
# Diagonal elements of inverse mass matrix:
# 0.0147354, 0.0191724, 0.0247701, 0.0798857, 0.0461735, 0.0784712
9.62036,0.991968,0.177003,4,15,0,-8.43542,4.3589,3.43863,25.4831,56.5786,1.00807,0.154448,-1.00807,1.00807,0,0,-0.305988,0.134938,0,0.0607763,-0.0607763,0.171051,0.134938,0.0607763,0,71.5981,91.7624,104.832,112.594,116.423,117.368,116.235,81.7156,51.164,33.4489,23.7543,18.374,15.2471,13.2974,11.9705,10.9818,71.5981,91.7624,104.832,112.594,116.423,117.368,116.235,81.7156,51.164,33.4489,23.7543,18.374,15.2471,13.2974,11.9705,10.9818,5000,3020.44,2347.58,1824.61,1418.14,1102.22,856.681,665.839,88.6683,11.8078,1.57241,0.209395,0.0278847,0.00371334,0.000494498,6.58512e-05,8.76926e-06,0,1824.54,2338.39,2671.44,2869.26,2966.81,2990.91,2962.03,2082.37,1303.82,852.381,605.335,468.228,388.545,338.858,305.046,279.851,0,67.9556,137.218,219.461,309.234,402.508,496.343,588.632,1169.54,1456.17,1556.65,1559.94,1515.81,1450.11,1375.99,1299.98,1225.31,71.7657,108.783,88.5509,113.404,121.873,106.451,98.5722,111.754,55.2264,28.3292,26.9442,23.5433,12.5124,12.6432,10.8404,8.48859
11.8916,0.979164,0.177003,4,15,0,-8.1481,4.2199,3.74214,24.4882,40.1721,0.953671,0.123325,-0.953671,0.953671,0,0,-0.325137,0.152814,0,0.0931528,-0.0931528,0.172323,0.152814,0.0931528,0,71.0572,91.3897,104.741,112.825,116.972,118.212,117.338,83.9061,54.0362,37.0129,27.7777,22.5366,19.2852,17.0413,15.3317,13.9277,71.0572,91.3897,104.741,112.825,116.972,118.212,117.338,83.9061,54.0362,37.0129,27.7777,22.5366,19.2852,17.0413,15.3317,13.9277,5000,3103.72,2445.34,1926.62,1517.93,1195.94,942.249,742.373,110.223,16.3654,2.42984,0.36077,0.0535651,0.00795306,0.00118083,0.000175323,2.60309e-05,0,1740.07,2237.97,2564.91,2762.88,2864.45,2894.81,2873.39,2054.71,1323.25,906.381,680.228,551.881,472.261,417.312,375.447,341.064,0,72.785,146.871,234.663,330.22,429.135,528.191,625.077,1213.15,1466.52,1520.41,1479.09,1397.34,1301.49,1203.65,1109.18,1020.26,69.128,81.3168,89.7459,127.514,120.436,110.399,123.031,63.3113,39.0969,42.8377,21.573,19.7201,18.9303,13.2309,15.826,12.8894
13.2081,0.821024,0.177003,2,3,0,-7.8308,4.38785,3.7152,22.7799,41.7254,1.0077,0.119084,-1.0077,1.0077,0,0,-0.35571,0.163091,0,0.0890393,-0.0890393,0.192619,0.163091,0.0890393,0,79.0505,100.643,114.2,121.815,125.084,125.224,123.156,82.4489,50.572,33.6673,24.9978,20.2793,17.4208,15.4588,13.9541,12.7054,79.0505,100.643,114.2,121.815,125.084,125.224,123.156,82.4489,50.572,33.6673,24.9978,20.2793,17.4208,15.4588,13.9541,12.7054,5000,3021,2348.23,1825.29,1418.8,1102.84,857.238,666.334,88.8001,11.8341,1.57709,0.210174,0.0280092,0.00373269,0.000497444,6.62927e-05,8.83462e-06,0,1800.76,2292.64,2601.47,2774.93,2849.41,2852.6,2805.49,1878.18,1152.03,766.94,569.447,461.961,396.844,352.15,317.874,289.429,0,81.0297,162.52,258.163,361.275,467.002,571.882,673.502,1266.55,1499.19,1533.2,1478.72,1389.63,1290.26,1191.14,1096.6,1008.21,77.9926,93.7768,101.478,125.959,111.312,124.328,118.992,76.2924,51.1519,23.3404,30.1289,19.2306,18.4612,17.5022,16.189,12.4103
12.6786,0.974944,0.177003,4,31,0,-11.377,4.66405,4.7122,26.483,39.1725,1.25774,0.129828,-1.25774,1.25774,0,0,-0.354048,0.177933,0,0.120294,-0.120294,0.176115,0.177933,0.120294,0,80.1123,99.4279,110.23,115.139,116.034,114.258,110.768,70.8778,45.3734,32.5291,25.7465,21.7172,18.9762,16.8833,15.1551,13.6621,80.1123,99.4279,110.23,115.139,116.034,114.258,110.768,70.8778,45.3734,32.5291,25.7465,21.7172,18.9762,16.8833,15.1551,13.6621,5000,2665.97,1946.69,1421.48,1037.97,757.924,553.437,404.12,32.6627,2.63993,0.21337,0.0172454,0.00139385,0.000112656,9.10534e-06,7.35931e-07,5.9481e-08,0,2121.61,2633.15,2919.23,3049.22,3072.92,3025.9,2933.46,1877.06,1201.62,861.468,681.844,575.137,502.546,447.119,401.352,361.813,0,105.624,207.708,323.923,445.581,566.837,683.874,794.305,1376.74,1553.16,1539.14,1450.22,1336.97,1220.44,1108.98,1005.54,910.828,94.0908,106.063,114.893,102.499,101.766,98.0156,146.015,62.4736,49.247,32.6464,25.0478,26.7254,21.0596,18.2541,17.8243,13.7584
10.7277,0.878192,0.177003,3,15,0,-8.45828,4.80807,4.15606,24.6578,40.2448,1.2626,0.152744,-1.2626,1.2626,0,0,-0.363541,0.16855,0,0.10327,-0.10327,0.194992,0.16855,0.10327,0,86.0417,106.556,117.857,122.794,123.41,121.163,117.088,72.4096,44.3059,30.411,23.3235,19.3206,16.7418,14.8572,13.3435,12.0545,86.0417,106.556,117.857,122.794,123.41,121.163,117.088,72.4096,44.3059,30.411,23.3235,19.3206,16.7418,14.8572,13.3435,12.0545,5000,2659.5,1939.61,1414.59,1031.68,752.418,548.749,400.211,32.0337,2.56405,0.205232,0.0164272,0.00131487,0.000105245,8.424e-06,6.74275e-07,5.39704e-08,0,2121.6,2627.44,2906.1,3027.83,3043.02,2987.62,2887.14,1785.46,1092.49,749.869,575.105,476.403,412.815,366.345,329.023,297.237,0,100.495,197.691,308.421,424.437,540.188,652.042,757.724,1319.55,1496.06,1489.59,1409.72,1305.02,1195.98,1090.91,992.861,902.677,67.2103,99.5244,136.413,144.401,125.094,138.981,107.859,64.062,42.9728,32.8609,29.1214,17.105,14.4493,14.151,13.0651,11.2211
9.52586,0.970333,0.177003,2,7,0,-7.92613,4.62811,4.36109,23.2881,39.2342,1.28308,0.160414,-1.28308,1.28308,0,0,-0.385999,0.187267,0,0.111155,-0.111155,0.198733,0.187267,0.111155,0,91.6031,112.858,124.196,128.761,128.791,125.866,121.1,73.0522,44.5981,31.0834,24.3165,20.4583,17.8935,15.9499,14.3443,12.953,91.6031,112.858,124.196,128.761,128.791,125.866,121.1,73.0522,44.5981,31.0834,24.3165,20.4583,17.8935,15.9499,14.3443,12.953,5000,2632.41,1910.05,1385.91,1005.61,729.657,529.432,384.151,29.5144,2.2676,0.17422,0.0133854,0.0010284,7.90122e-05,6.07052e-06,4.66399e-07,3.58336e-08,0,2133.26,2628.24,2892.29,2998.61,2999.29,2931.18,2820.2,1701.25,1038.61,723.875,566.286,476.435,416.705,371.444,334.052,301.651,0,112.531,220.486,342.649,469.761,595.682,716.469,829.724,1411.07,1572.35,1546.51,1451.14,1335.2,1218.1,1107.06,1004.45,910.655,94.4239,149.181,124.448,135.676,121.626,123.467,118.346,73.9081,49.4011,27.5225,29.1326,16.5199,15.6799,16.1572,16.2262,13.5478
