# stan_version_major = 2
# stan_version_minor = 14
# stan_version_patch = 0
# model = TwoCptModel_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = /data/example-models/PKPD/torsten/TwoCptModel/TwoCptModel.data.R
# init = /data/example-models/PKPD/torsten/TwoCptModel/TwoCptModel.init.R
# random
#   seed = 334584
# output
#   file = /data/example-models/PKPD/torsten/TwoCptModel/TwoCptModel/TwoCptModel3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,CL,Q,V1,V2,ka,sigma,theta.1,theta.2,theta.3,theta.4,theta.5,cHat.1,cHat.2,cHat.3,cHat.4,cHat.5,cHat.6,cHat.7,cHat.8,cHat.9,cHat.10,cHat.11,cHat.12,cHat.13,cHat.14,cHat.15,cHat.16,cHat.17,cHat.18,cHat.19,cHat.20,cHat.21,cHat.22,cHat.23,cHat.24,cHatObs.1,cHatObs.2,cHatObs.3,cHatObs.4,cHatObs.5,cHatObs.6,cHatObs.7,cHatObs.8,cHatObs.9,cHatObs.10,cHatObs.11,cHatObs.12,cHatObs.13,cHatObs.14,cHatObs.15,cHatObs.16,cHatObs.17,cHatObs.18,cHatObs.19,cHatObs.20,cHatObs.21,cHatObs.22,cHatObs.23,x.1.1,x.2.1,x.3.1,x.4.1,x.5.1,x.6.1,x.7.1,x.8.1,x.9.1,x.10.1,x.11.1,x.12.1,x.13.1,x.14.1,x.15.1,x.16.1,x.17.1,x.18.1,x.19.1,x.20.1,x.21.1,x.22.1,x.23.1,x.24.1,x.1.2,x.2.2,x.3.2,x.4.2,x.5.2,x.6.2,x.7.2,x.8.2,x.9.2,x.10.2,x.11.2,x.12.2,x.13.2,x.14.2,x.15.2,x.16.2,x.17.2,x.18.2,x.19.2,x.20.2,x.21.2,x.22.2,x.23.2,x.24.2,x.1.3,x.2.3,x.3.3,x.4.3,x.5.3,x.6.3,x.7.3,x.8.3,x.9.3,x.10.3,x.11.3,x.12.3,x.13.3,x.14.3,x.15.3,x.16.3,x.17.3,x.18.3,x.19.3,x.20.3,x.21.3,x.22.3,x.23.3,x.24.3,cObsPred.1,cObsPred.2,cObsPred.3,cObsPred.4,cObsPred.5,cObsPred.6,cObsPred.7,cObsPred.8,cObsPred.9,cObsPred.10,cObsPred.11,cObsPred.12,cObsPred.13,cObsPred.14,cObsPred.15,cObsPred.16,cObsPred.17,cObsPred.18,cObsPred.19,cObsPred.20,cObsPred.21,cObsPred.22,cObsPred.23
# Adaptation terminated
# Step size = 0.200453
# Diagonal elements of inverse mass matrix:
# 0.0110112, 0.0114161, 0.014847, 0.0600809, 0.0317073, 0.0300874
27.788,0.47052,0.200453,3,15,0,-24.4591,4.46118,4.95521,23.552,44.2895,1.07678,0.107219,4.46118,4.95521,23.552,44.2895,1.07678,0,65.2062,79.4824,90.8985,99.8735,106.77,111.904,115.545,117.928,119.256,119.704,119.421,118.536,117.161,115.389,73.297,45.3144,31.8264,25.1808,21.4516,18.9793,17.0905,15.511,14.126,65.2062,79.4824,90.8985,99.8735,106.77,111.904,115.545,117.928,119.256,119.704,119.421,118.536,117.161,115.389,73.297,45.3144,31.8264,25.1808,21.4516,18.9793,17.0905,15.511,14.126,5000,3338.92,2918.44,2550.91,2229.67,1948.89,1703.46,1488.94,1301.43,1137.54,994.288,869.075,759.631,663.969,580.354,67.3622,7.81878,0.907533,0.105338,0.0122267,0.00141916,0.000164723,1.91195e-05,2.21922e-06,0,1535.73,1871.97,2140.84,2352.22,2514.65,2635.55,2721.3,2777.43,2808.71,2819.25,2812.59,2791.76,2759.37,2717.65,1726.29,1067.24,749.574,593.058,505.226,446.999,402.514,365.315,332.695,0,65.5077,109.265,160.291,216.857,277.501,340.986,406.273,472.495,538.928,604.976,670.149,734.052,796.366,856.843,1517.51,1721.16,1709,1615.19,1496.44,1374.91,1258.78,1150.72,1051.24,59.3969,96.5463,90.4815,107.866,121.053,94.3579,114.117,130.036,114.542,117.119,126.145,103.891,131.874,119.179,84.976,48.9883,33.0501,25.0717,21.5139,19.1049,16.2779,15.2093,13.1966
28.4534,0.951983,0.200453,4,15,0,-25.801,4.50498,4.53078,20.7565,46.4072,0.970521,0.110958,4.50498,4.53078,20.7565,46.4072,0.970521,0,67.5053,82.5806,94.7581,104.438,111.97,117.66,121.777,124.553,126.193,126.875,126.752,125.959,124.612,122.812,76.6132,44.944,30.0172,23.0792,19.4599,17.2009,15.5317,14.1525,12.9449,67.5053,82.5806,94.7581,104.438,111.97,117.66,121.777,124.553,126.193,126.875,126.752,125.959,124.612,122.812,76.6132,44.944,30.0172,23.0792,19.4599,17.2009,15.5317,14.1525,12.9449,5000,3474.65,3077.68,2726.07,2414.63,2138.77,1894.43,1678,1486.3,1316.49,1166.09,1032.87,914.87,810.35,717.772,103.039,14.7917,2.12342,0.304826,0.043759,0.0062818,0.000901779,0.000129454,1.85837e-05,0,1401.17,1714.08,1966.85,2167.76,2324.1,2442.21,2527.66,2585.29,2619.33,2633.48,2630.93,2614.47,2586.51,2549.14,1590.22,932.881,623.052,479.043,403.919,357.031,322.383,293.757,268.69,0,61.8729,103.519,152.309,206.64,265.14,326.637,390.135,454.793,519.899,584.862,649.186,712.466,774.37,834.634,1505.23,1719.47,1713.03,1623.38,1508.65,1391.05,1278.54,1173.6,1076.7,70.9592,87.5124,92.3384,102.025,117.815,128.259,140.451,147.799,119.944,154.565,130.244,105.83,154.216,119.284,78.7326,49.6512,29.8832,23.5197,18.6288,16.2197,15.663,11.8546,13.4694
29.7961,0.951696,0.200453,4,15,0,-28.1687,3.80808,4.04824,24.6611,61.1005,1.12356,0.0747048,3.80808,4.04824,24.6611,61.1005,1.12356,0,65.4518,80.0014,91.758,101.126,108.454,114.045,118.159,121.023,122.831,123.749,123.924,123.478,122.519,121.139,81.3022,50.7606,34.137,25.357,20.5575,17.7484,15.9423,14.6523,13.6379,65.4518,80.0014,91.758,101.126,108.454,114.045,118.159,121.023,122.831,123.749,123.924,123.478,122.519,121.139,81.3022,50.7606,34.137,25.357,20.5575,17.7484,15.9423,14.6523,13.6379,5000,3280.85,2850.96,2477.4,2152.79,1870.72,1625.6,1412.6,1227.51,1066.67,926.904,805.453,699.915,608.206,528.514,55.8654,5.90512,0.624188,0.0659783,0.00697409,0.000737181,7.7922e-05,8.23657e-06,8.70628e-07,0,1614.12,1972.93,2262.86,2493.87,2674.59,2812.47,2913.95,2984.57,3029.15,3051.8,3056.1,3045.11,3021.47,2987.42,2005,1251.81,841.858,625.334,506.972,437.697,393.156,361.341,336.326,0,53.8961,90.2332,132.88,180.481,231.881,286.101,342.308,399.801,457.989,516.377,574.553,632.176,688.965,744.693,1422.59,1733.54,1832.21,1826.21,1771.52,1695.8,1612.49,1528.03,1445.44,64.6388,87.1601,90.007,110.608,112.787,104.624,115.744,109.861,115.878,130.14,130.055,112.44,120.413,122.752,77.2849,48.7818,34.7155,25.2271,20.7601,17.5644,17.0782,14.0342,13.5165
27.7484,0.618654,0.200453,3,7,0,-24.7706,4.25534,4.21073,24.7324,53.4199,1.09246,0.0744585,4.25534,4.21073,24.7324,53.4199,1.09246,0,63.5167,77.646,89.0595,98.1462,105.244,110.644,114.601,117.333,119.031,119.857,119.954,119.443,118.43,117.004,77.249,47.6448,32.0674,24.0649,19.7258,17.1352,15.3938,14.0817,13.0026,63.5167,77.646,89.0595,98.1462,105.244,110.644,114.601,117.333,119.031,119.857,119.954,119.443,118.43,117.004,77.249,47.6448,32.0674,24.0649,19.7258,17.1352,15.3938,14.0817,13.0026,5000,3319.34,2895.65,2526.04,2203.61,1922.33,1676.96,1462.9,1276.17,1113.28,971.175,847.211,739.07,644.732,562.436,63.267,7.11673,0.800541,0.0900507,0.0101296,0.00113945,0.000128173,1.44179e-05,1.62183e-06,0,1570.92,1920.37,2202.65,2427.39,2602.92,2736.49,2834.35,2901.93,2943.91,2964.35,2966.74,2954.11,2929.05,2893.79,1910.55,1178.37,793.103,595.183,487.866,423.795,380.724,348.275,321.585,0,54.2993,90.8683,133.748,181.56,233.126,287.448,343.676,401.095,459.103,517.196,574.956,632.035,688.152,743.075,1392.78,1661.93,1721.71,1685.12,1607.91,1515.97,1421.03,1328.27,1239.83,62.532,75.0277,81.3715,107.883,109.799,126.132,112.357,100.438,134.132,117.907,115.26,125.204,118.013,122.747,79.9811,46.9043,33.6293,20.7039,18.3195,15.9165,17.4842,14.5548,12.565
27.0816,0.996623,0.200453,4,15,0,-25.559,4.49915,3.68638,24.4989,46.7637,1.08699,0.109781,4.49915,3.68638,24.4989,46.7637,1.08699,0,63.9635,78.2578,89.8359,99.0836,106.336,111.882,115.975,118.834,120.646,121.575,121.764,121.333,120.388,119.021,79.1399,48.6432,32.2528,23.6828,18.9869,16.1843,14.3222,12.945,11.8342,63.9635,78.2578,89.8359,99.0836,106.336,111.882,115.975,118.834,120.646,121.575,121.764,121.333,120.388,119.021,79.1399,48.6432,32.2528,23.6828,18.9869,16.1843,14.3222,12.945,11.8342,5000,3326.16,2903.58,2534.69,2212.66,1931.55,1686.15,1471.93,1284.93,1121.68,979.174,854.773,746.177,651.377,568.622,64.6661,7.35411,0.836341,0.0951124,0.0108166,0.00123011,0.000139893,1.59093e-05,1.80927e-06,0,1567.04,1917.23,2200.88,2427.44,2605.1,2740.99,2841.27,2911.3,2955.69,2978.46,2983.08,2972.52,2949.38,2915.87,1938.84,1191.7,790.159,580.203,465.157,396.498,350.877,317.138,289.925,0,47.8299,80.0849,117.938,160.181,205.779,253.854,303.658,354.559,406.025,457.608,508.937,559.702,609.65,658.575,1240.4,1482.8,1534.89,1497.96,1423.08,1334.48,1243.34,1154.66,1070.54,64.7406,78.1615,93.8416,106.147,107.012,100.829,110.774,136.458,135.026,123.846,103.142,132.086,118.083,125.334,82.0595,45.9091,30.8761,26.0624,16.8322,17.974,17.0215,12.6974,12.6812
28.8437,0.989471,0.200453,4,15,0,-26.4889,4.1516,4.21972,24.9205,50.6552,1.28877,0.0917394,4.1516,4.21972,24.9205,50.6552,1.28877,0,71.9101,87.0073,98.8207,107.887,114.659,119.524,122.805,124.777,125.674,125.691,124.993,123.718,121.985,119.89,75.9759,47.2135,32.4843,24.8605,20.6311,18.0303,16.2313,14.8463,13.692,71.9101,87.0073,98.8207,107.887,114.659,119.524,122.805,124.777,125.674,125.691,124.993,123.718,121.985,119.89,75.9759,47.2135,32.4843,24.8605,20.6311,18.0303,16.2313,14.8463,13.692,5000,3083.76,2624.92,2234.36,1901.91,1618.92,1378.04,1173,998.473,849.91,723.452,615.809,524.183,446.19,379.801,28.8498,2.19144,0.166462,0.0126445,0.000960478,7.29581e-05,5.54192e-06,4.20965e-07,3.19766e-08,0,1792.04,2168.27,2462.66,2688.59,2857.37,2978.59,3060.35,3109.52,3131.86,3132.28,3114.88,3083.12,3039.92,2987.72,1893.36,1176.58,809.526,619.537,514.137,449.326,404.493,369.977,341.212,0,62.2708,103.483,151.303,204.082,260.45,319.271,379.607,440.684,501.871,562.656,622.626,681.451,738.873,794.691,1428.05,1672.75,1717.82,1673.19,1591.31,1496.38,1399.35,1305.05,1215.46,66.6883,84.1311,89.5215,110.466,138.338,124.035,97.4367,111.903,115.304,155.383,120.744,119.902,117.828,107.257,86.2588,46.5689,31.5337,24.737,20.5111,19.484,15.4194,15.5563,15.0824
